PERFIL,PROFUNDIDAD_cm,COD_LAB,ARENA_porc,LIMO_porc,ARCILLA_porc,TEXTURA_clase,GRAVILLA_porc,RELACION,pH,Al_meq,SAI_porc,CaCO3,CO_porc,N_total,CIC,Ca,Mg,K,Na,BT,SB_porc,RETENCION_P_porc,INDICE_MELANICO,Fe_ACTIVO_porc,Al_ACTIVO_porc,Mn_ppm,Fe_ppm,Zn_ppm,Cu_ppm,B_ppm,S_ppm,P_DISPONIBLE_ppm,GRAVA_porc,ARENA_perc_2,LIMO_perc_2,ARCILLA_perc_2,TEXTURA_clase_2,pF_0,pF_33,pF_100,pF_500,pF_1500,HUMEDAD_perc,DENS_real_gcm3,DENS_ap_gcm3,MACROPORO_perc,MICROPORO_perc,POROSIDAD_TOT_perc
QS-1,0-10,4-05406,39.6,36.2,24.2,F,6.1,(1:1),5.6,,,,6.8,,37.3,5.1,0.65,0.44,0.16,6.4,17,,,,,0.9,55.9,3,1.7,0.25,2,39.6,,38.16,43.66,18.18,F,111.26,67.86,60.74,47.43,36.2,31.66,2.45,0.88,25,39.08,64.08
QS-1,10-48,4-05407,42.6,39.7,17.7,F*,4.6,(1:1),5.5,5.8,42.4,,4.9,,35.1,7.1,0.43,0.22,0.14,7.9,22.5,,,, ,0.2,41.9,0.22,1,0.13,2.3,18,,53.01,43.75,3.24,FA,104.3,65.45,58.49,47.15,36.12,29.33,2.26,0.79,24.23,40.82,65.04
QS-1,48-68,4-05408,46.2,36.1,17.7,F*,6.9,(1:1),6,,,,3.2,,31.1,4.7,0.39,0.26,0.22,5.6,17.9,,,,,0.12,43.8,0.04,0.6,ND,2.3,44.2,,67.55,29.7,2.75,FA,101.37,60.7,55.43,46.87,36.99,23.71,2.35,0.68,28.51,42.55,71.06
QS-1,68-98,4-05409,54.7,33.8,11.5,FA*,5.8,(1:1),6,,,,1.6,,31,5.6,0.53,0.22,0.24,6.6,21.3,,,,,0.12,28.6,0.04,0.64,0.13,2.1,16.6,,75.17,23.39,1.44,AF,106.59,65.58,59.97,50.38,40.92,24.66,2.35,0.88,24.07,38.49,62.55
QS-1,98-150,4-05410,55,33.1,11.9,FA*,6.1,(1:1),5.9,,,,1.3,,31.3,3.6,0.18,0.28,0.25,4.3,13.8,,,,,0.04,20.1,0.02,0.48,0.02,4.2,36.6,,78.67,20.92,0.41,AF,134.12,88.39,85.28,74.21,60.5,27.89,,,,,
QS-2,0-10,4-05411,85.4,3.7,10.9,AF,2.4,(1:1),6.3,,,,0.33,,8.2,5.6,1.7,0.23,0.3,7.8,95.5,,,,,0.7,32,0.2,1,0.04,2.7,ND,,,,,,,,,,,,,,,,
QS-2,10-25,4-05412,87.1,6,6.9,AF,2.7,(1:1),6.1,,,,0.33,,6.2,8.8,1,0.19,0.21,10.2,SAT,,,,,0.6,29,0.12,0.82,0.08,1.4,ND,,,,,,,,,,,,,,,,
QS-2,25-65,4-05413,46.2,42.4,11.4,F*,3,(1:1),6,,,,2.5,,29.4,7.4,3.5,0.37,0.21,11.5,39,,,,,3.6,73.4,0.4,1.8,0.11,8,ND,,,,,,,,,,,,,,,,
QS-2,65-95,4-05414,59.6,31.2,9.2,FA*,2.8,(1:1),5.9,,,,1.5,,19.4,3.5,1.1,0.29,0.2,5.1,26.2,,,,,0.46,62.4,0.2,2.4,0.04,3.1,ND,,,,,,,,,,,,,,,,
QS-2,95-100,4-05415,82.9,10.2,6.9,AF,2.5,(1:1),6,,,,0.6,,9,3.7,1.1,0.22,0.16,5.2,57.6,,,,,0.64,45.5,0.06,1.3,0.06,0.57,ND,,,,,,,,,,,,,,,,
