"","OBJECTID","MUID","SEQN","SNAM","S5ID","CMPPCT","NLAYERS","HYDGRP","SOL_ZMX","ANION_EXCL","SOL_CRK","TEXTURE","SOL_Z1","SOL_BD1","SOL_AWC1","SOL_K1","SOL_CBN1","CLAY1","SILT1","SAND1","ROCK1","SOL_ALB1","USLE_K1","SOL_EC1","SOL_CAL1","SOL_PH1","SOL_Z2","SOL_BD2","SOL_AWC2","SOL_K2","SOL_CBN2","CLAY2","SILT2","SAND2","ROCK2","SOL_ALB2","USLE_K2","SOL_EC2","SOL_CAL2","SOL_PH2","SOL_Z3","SOL_BD3","SOL_AWC3","SOL_K3","SOL_CBN3","CLAY3","SILT3","SAND3","ROCK3","SOL_ALB3","USLE_K3","SOL_EC3","SOL_CAL3","SOL_PH3","SOL_Z4","SOL_BD4","SOL_AWC4","SOL_K4","SOL_CBN4","CLAY4","SILT4","SAND4","ROCK4","SOL_ALB4","USLE_K4","SOL_EC4","SOL_CAL4","SOL_PH4","SOL_Z5","SOL_BD5","SOL_AWC5","SOL_K5","SOL_CBN5","CLAY5","SILT5","SAND5","ROCK5","SOL_ALB5","USLE_K5","SOL_EC5","SOL_CAL5","SOL_PH5"
"1",1,"",1,"SOIL_0001","",1,4,"",100,0.5,0.5,"",5,1.4398869761462,0.189241387949676,1.44074608983793,3.605,30.9,39.6,29.5,0,0.155288657391155,0.246117836485369,0,0,0,15,1.56431271078247,0.179300033306649,1.73732069748005,2.385,33.15,38.3,28.55,0,0.154336590457398,0.244498425879119,0,0,0,30,1.6781075931983,0.153423502874708,11.4096395905613,1.705,38,36.05,25.95,0,0.153645135964306,0.250319001618287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"",1,"SOIL_0002","",1,4,"",100,0.5,0.5,"",5,1.49506090321915,0.179563880441464,3.40535435334182,3.13,32.8,36.5,30.7,0,0.153983997471447,0.236548578604895,0,0,0,15,1.57209726905761,0.175304930939563,3.82459768850659,2.29,33,35.7,31.2,0,0.154315351140299,0.235477970211272,0,0,0,30,1.72148386382971,0.158113754664333,40.5324609162619,1.19,35.8,34.2,30,0,0.156057302454171,0.2695844298771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"",1,"SOIL_0003","",1,4,"",100,0.5,0.5,"",5,1.44936414167385,0.196762749530994,4.65949548231933,3.885,34.3166666666667,28.3166666666667,37.3833333333333,0,0.153710032291505,0.207499977609582,0,0,0,15,1.55505577852191,0.180914606628324,3.28816581587179,2.64166666666667,34.7666666666667,28.25,36.9666666666667,0,0.154039215170829,0.208037673595529,0,0,0,30,1.67933745810862,0.165642810127317,24.2675751385249,1.86,40.0333333333333,27.0333333333333,32.9166666666667,0,0.153007817646249,0.21263971680792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,"",1,"SOIL_0004","",1,4,"",100,0.5,0.5,"",5,1.42497130137129,0.193982951975391,2.98296579300582,4.055,33,30.3,36.7,0,0.153281238705455,0.213960400945272,0,0,0,15,1.52692872772981,0.17704232175409,3.69915260480844,2.835,33.55,30.35,36.1,0,0.15431603639759,0.214749979028934,0,0,0,30,1.64588061722442,0.170526831264029,29.7969995899355,2.06,38.65,29.25,32.1,0,0.152875666521889,0.217360686380829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,"",1,"SOIL_0005","",1,4,"",100,0.5,0.5,"",5,1.38766751928099,0.192594815341335,5.21322165838453,4.7875,34.55,29.425,36,0,0.152660246237188,0.211822166145522,0,0,0,15,1.53203547524459,0.173571337217404,3.50375610128172,2.8075,33.85,30.375,35.775,0,0.154062669074113,0.215071153408123,0,0,0,30,1.65944161997587,0.167351096935061,22.9275505658508,1.9425,38.8,28.425,32.75,0,0.153095104143342,0.215770748937033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,"",1,"SOIL_0006","",1,4,"",100,0.5,0.5,"",5,1.3142260957075,0.191262350497429,9.95518548372051,5.425,31,34.95,34.05,0,0.151610837422429,0.229461587787576,0,0,0,15,1.39905009926263,0.190374048722807,5.74687607641205,4.405,32.9,34.25,32.9,0,0.152556174707379,0.228237160854269,0,0,0,30,1.47153620451147,0.18184875751925,8.31535765748756,4.315,40.25,31.7,28.05,0,0.152211671306593,0.225044359016128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,"",1,"SOIL_0007","",1,4,"",100,0.5,0.5,"",5,1.37386062612175,0.189717995566782,5.58344688381128,4.67,32.1333333333333,34.1,33.8,0,0.152234709484248,0.227147980085816,0,0,0,15,1.41168247049476,0.187653142027809,4.51499103275024,4.47333333333333,34.8333333333333,32.8333333333333,32.3666666666667,0,0.15254715469514,0.224558653740707,0,0,0,30,1.54820710664476,0.184082612343843,8.3726578633673,3.52,42.2,29.7333333333333,28.0666666666667,0,0.152914868309169,0.219287820112147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,"",1,"SOIL_0008","",1,4,"",100,0.5,0.5,"",5,1.39311960031361,0.187554572717611,4.31448973342327,4.34,31.7333333333333,36.6333333333333,31.6333333333333,0,0.152758164144489,0.2360868930511,0,0,0,15,1.41754024686447,0.190063138833463,4.20423475722544,4.20333333333333,33.3666666666667,35.6666666666667,30.9666666666667,0,0.152691170083743,0.233870023518567,0,0,0,30,1.53994472479696,0.174117281454868,11.7313902400673,3.23333333333333,38.7333333333333,33.4666666666667,27.8,0,0.152624268174867,0.230435780119097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"",1,"SOIL_0009","",1,4,"",100,0.5,0.5,"",5,1.39544292999376,0.190580643471416,4.73215565848737,4.41428571428571,32.5714285714286,36.0285714285714,31.3571428571429,0,0.152636266164066,0.23462911732274,0,0,0,15,1.4531637026325,0.180815781257219,2.81982813133198,3.69142857142857,33.1142857142857,35.4285714285714,31.4142857142857,0,0.153786531735539,0.232888408164527,0,0,0,30,1.59282170011948,0.173660868597607,9.97149870851959,2.60285714285714,38.5714285714286,32.9285714285714,28.4714285714286,0,0.152770957362424,0.228779976886058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,"",1,"SOIL_0010","",1,4,"",100,0.5,0.5,"",5,1.38691699207479,0.188101349828664,5.30439263018212,4.52333333333333,32.4666666666667,34.2,33.3,0,0.152401462959998,0.227875977288188,0,0,0,15,1.47999539365459,0.1838934485325,3.19674172716031,3.34,33.0333333333333,33.7666666666667,33.2,0,0.154003990111234,0.226709061985774,0,0,0,30,1.5643,0.160699758440126,7.51977492328161,2.89,38.2333333333333,32.0666666666667,29.7,0,0.152960970378547,0.224807022200294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
